"name","party","storkreds","lokalkreds","ran.last.election","age","sex","title","location","pers.votes","UDDANNELSE__Efter folkeskolereformen får eleverne for lange skoledage","FOREBYGGELSE__Afgiften på cigaretter skal sættes op","SUNDHED__Et besøg hos den praktiserende læge skal koste eksempelvis 100 kr.","VELFÆRD__Mere af ældreplejen skal udliciteres til private virksomheder","ARBEJDSMARKED__Man skal hurtigere kunne genoptjene retten til dagpenge","ARBEJDSMARKED__Virksomheder skal kunne drages til ansvar for, om deres udenlandske underleverandører i Danmark overholder danske regler om løn, moms og skat","ØKONOMI__Vækst i den offentlige sektor er vigtigere end skattelettelser","TRAFIK__Investeringer i kollektiv trafik skal prioriteres højere end investeringer til fordel for privatbilisme","RET__Straffen for grov vold og voldtægt skal skærpes","SOCIAL__Kontanthjælpen skal sænkes, så den økonomiske gevinst ved at arbejde bliver større","INTEGRATION__Offentlige institutioner i Danmark tager for mange hensyn til religiøse minoriteter","EU__EU bestemmer for meget i forhold til dansk lov","UDVIKLING__Ulandsbistanden skal sænkes","KULTUR__Den offentlige kulturstøtte skal sænkes"
"Else Kayser","enhedslisten","Østjyllands "," Århus syd"," Nej ",62," Kvinde "," Sygeplejerske ","  Aarhus C",663,"Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Nikolaj Villumsen","enhedslisten","Østjyllands "," Århus øst"," Ja ",32," Mand "," Studerende "," 2400 København NV",2338,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt uenig"
"Søren Egge Rasmussen","enhedslisten","Østjyllands "," Århus nord"," Ja ",54," Mand "," Bestyrelsesformand "," 2400 København NV",1124,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Rasmus Vestergård Madsen","enhedslisten","Østjyllands "," Randers syd"," Ja ",24," Mand "," Økologisk landmand "," 8660 Skanderborg",536,"Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt uenig"
"Maria Temponeras","enhedslisten","Østjyllands "," Skanderborg"," Nej ",44," Kvinde "," Biolog "," 8680 Ry",890,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Maja Wolff Albrechtsen","enhedslisten","Østjyllands "," Horsens"," Nej ",30," Kvinde "," socialrådgiver, cand.pæd. fil. ","  Aarhus C",825,"Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Anne Hegelund","enhedslisten","Østjyllands "," Århus vest"," Nej ",26," Kvinde "," Studerende "," Ukendt",809,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt uenig"
"Ulf Harbo","enhedslisten","Østjyllands "," Djurs"," Nej ",38," Mand "," Lærer "," 8585 Glesborg",899,"Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig"
"Bodil Kvistgård Olsen","enhedslisten","Østjyllands "," Favrskov"," Nej ",46," Kvinde "," Skolelærer "," 8870 Langå",290,"Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Josephine Fock","alternativet","Østjyllands "," Ukendt"," Nej ",50," Kvinde "," Sekretariatschef "," 2300 København S",3775,"Delvist uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Niko Grünfeld","alternativet","Østjyllands "," Ukendt"," Nej ",40," Mand "," Direktør "," 2500 Valby",2876,"Delvist enig","Helt enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Vibeke Genefke","alternativet","Østjyllands "," Århus vest, Randers nord"," Nej ",47," Kvinde "," Konsulent "," 8210 Århus V",398,"Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig"
"Julius Gråkjær Grantzau","alternativet","Østjyllands "," Århus øst, Favrskov"," Nej ",32," Mand "," Iværksætter "," 8330 Beder",512,"Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Helt enig","Helt uenig","Helt uenig"
"Jesper Nørgård Kjær","alternativet","Østjyllands "," Århus øst, Favrskov"," Nej ",27," Mand "," Medicinstuderende ","  Aarhus C",211,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Tina Kjær","alternativet","Østjyllands "," Århus nord, Djurs"," Nej ",32," Kvinde "," Planlægningsassistent "," Ukendt",551,"Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig"
"Lynge Korsgård","alternativet","Østjyllands "," Horsens, Hedensted"," Nej ",32," Mand "," Efterskolelærer "," 8300 Odder",222,"Delvist enig","Helt enig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"Anders Stenumgård Lind","alternativet","Østjyllands "," Djurs, Randers syd"," Nej ",48," Mand "," cand.pæd. "," 8500 Grenaa",392,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Delvist uenig"
"Lars Pallesen","alternativet","Østjyllands "," Århus vest, Randers nord"," Nej ",48," Mand "," Kommunikationsmedarbejder "," 8260 Viby J",239,"Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig"
"Thomas Risum Rasmussen","alternativet","Østjyllands "," Århus syd, Skanderborg"," Nej ",38," Mand "," Arkitekt "," 8660 Skanderborg",144,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Delvist uenig"
"Steen Rågård","alternativet","Østjyllands "," Skanderborg, Horsens"," Nej ",61," Mand "," Arkitekt "," 8300 Odder",222,"Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Alexander With","alternativet","Østjyllands "," Århus øst, Hedensted"," Nej ",31," Mand "," Officer "," Ukendt",184,"Hverken enig eller uenig","Helt enig","Delvist uenig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig"
"Helle Dam","socialdemokraterne","Vestjyllands "," Struer"," Nej ",55," Kvinde "," Kontorassistent "," 7500 Holstebro",2948,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig"
"Kasper Skov Andersen","socialdemokraterne","Vestjyllands "," Viborg Øst"," Nej ",23," Mand "," Pædagog "," 8800 Viborg",413,"Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig"
"Karin Gårdsted","socialdemokraterne","Vestjyllands "," Viborg Vest"," Ja ",60," Kvinde "," Lærer "," 8800 Viborg",5931,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Delvist enig","Delvist enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Mogens Jensen","socialdemokraterne","Vestjyllands "," Herning syd"," Ja ",51," Mand "," Handels- og udviklingsminister ","  København V",7921,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Helt enig","Delvist enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Thomas Jensen","socialdemokraterne","Vestjyllands "," Silkeborg Syd"," Ja ",45," Mand "," BA scient.pol. "," 6000 Kolding",7590,"Delvist uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig"
"Annette Lind","socialdemokraterne","Vestjyllands "," Holstebro"," Ja ",46," Kvinde "," Lærer "," 7500 Holstebro",12703,"Helt uenig","Delvist enig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig"
"Anne Paulin","socialdemokraterne","Vestjyllands "," Skive"," Nej ",27," Kvinde "," Konsulent "," 2200 København N",6100,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Frank Heidemann Sørensen","socialdemokraterne","Vestjyllands "," Ikast"," Ja ",60," Mand "," Lærer "," 7442 Engesvang",1697,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig"
"Johannes Lebech","radikale venstre","Vestjyllands "," Holstebro"," Nej ",67," Mand "," Fhv. minister "," 7500 Holstebro",960,"Delvist uenig","Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Erika Asmuss","radikale venstre","Vestjyllands "," Ringkøbing"," Ja ",58," Kvinde "," Sygeplejerske "," 7400 Herning",176,"Delvist uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Sanne Bjørn","radikale venstre","Vestjyllands "," Viborg Øst, Silkeborg Nord"," Ja ",41," Kvinde "," Sekretariatsleder "," 8541 Skødstrup",801,"Delvist uenig","Helt enig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Jes Juul Lauesen","radikale venstre","Vestjyllands "," Silkeborg Syd"," Ja ",56," Mand "," cand.polit., skoleleder "," 8600 Silkeborg",248,"Delvist enig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Andreas Råby Steenberg","radikale venstre","Vestjyllands "," Skive, Herning syd"," Ja ",32," Mand "," Gymnasielærer ","  Aarhus C",1971,"Helt uenig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Søren Pape","det konservative folkeparti","Vestjyllands "," Viborg Vest, Viborg Øst"," Nej ",43," Mand "," Partiformand "," 8850 Bjerringbro",11565,"Helt enig","Helt uenig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig"
"Pernille Bloch","det konservative folkeparti","Vestjyllands "," Holstebro"," Nej ",53," Kvinde "," Advokat "," 7500 Holstebro",327,"Delvist uenig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig"
"Jens-Henrik Kirk","det konservative folkeparti","Vestjyllands "," Herning nord, Herning syd"," Nej ",38," Mand "," Efterskoleforst. "," 9550 Mariager",407,"Helt enig","Helt enig","Helt uenig","Delvist enig","Helt uenig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Helt uenig","Helt uenig"
"Jette Philipsen","det konservative folkeparti","Vestjyllands "," Silkeborg Syd, Silkeborg Nord"," Nej ",62," Kvinde "," Selvstændig "," 8600 Silkeborg",469,"Delvist enig","Delvist enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Delvist uenig"
"Tove Videbæk","det konservative folkeparti","Vestjyllands "," Ikast"," Ja ",69," Kvinde "," Byrådsmedlem "," 7330 Brande",471,"Helt enig","Helt enig","Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Helt uenig"
"Orla Østerby","det konservative folkeparti","Vestjyllands "," Struer"," Nej ",63," Mand "," Centerchef "," 7660 Bækmarksbro",572,"Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig"
"Andreas Albertsen","socialistisk folkeparti","Vestjyllands "," Ringkøbing"," Nej ",30," Mand "," cand.scient.pol., ph.d. "," 8210 Aarhus V",341,"Delvist uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Delvist uenig","Delvist enig","Helt uenig","Delvist uenig"
"Steen Gade","socialistisk folkeparti","Vestjyllands "," Silkeborg Syd"," Ja ",70," Mand "," Skolelærer "," 2300 København S",2111,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig","Helt uenig"
"Signe Munk","socialistisk folkeparti","Vestjyllands "," Viborg Vest"," Nej ",25," Kvinde "," Næstformand "," 2820 Gentofte",1536,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Susanne Buch Nielsen","socialistisk folkeparti","Vestjyllands "," Holstebro"," Nej ",56," Kvinde "," Lektor "," 7650 Bøvlingbjerg",888,"Delvist uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Helt uenig","Helt uenig"
"August Vigen Smolarz","socialistisk folkeparti","Vestjyllands "," Silkeborg Nord"," Nej ",21," Mand "," Studerende "," 2100 København Ø",175,"Delvist uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Delvist enig","Delvist uenig","Delvist uenig"
"Michael Thomsen","socialistisk folkeparti","Vestjyllands "," Herning syd"," Ja ",47," Mand "," Lærer "," 7400 Herning",258,"Helt uenig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt uenig"
"Anders Udengård","socialistisk folkeparti","Vestjyllands "," Ikast"," Nej ",39," Mand "," Pædagog "," 7330 Brande",89,"Hverken enig eller uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist uenig"
"Johnny Heinmann","liberal alliance","Vestjyllands "," Storkredskandidat"," Nej ",50," Mand "," Adm. direktør "," 8600 Silkeborg",525,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Lene Foged","liberal alliance","Vestjyllands "," Storkredskandidat"," Nej ",1," Kvinde "," Salgskoordinator "," 7850 Stoholm Jyll",1121,"Helt enig","Helt uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt enig","Helt enig"
"Emilia Djomina Hansen","liberal alliance","Vestjyllands "," Ukendt"," Nej ",19," Kvinde "," studerende "," 8620 Kjellerup",380,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig"
"Keld Lorenzen","liberal alliance","Vestjyllands "," Storkredskandidat"," Nej ",39," Mand "," Area Sales Manager "," 8800 Viborg",343,"Delvist enig","Delvist uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig"
"Steffen Troldtoft","liberal alliance","Vestjyllands "," Storkredskandidat"," Nej ",32," Mand "," cand.it. "," 6990 Ulfborg",188,"Helt enig","Helt uenig","Helt enig","Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Leif Mikkelsen","liberal alliance","Vestjyllands "," Storkredskandidat"," Ja ",70," Mand "," Fhv. gårdejer "," 8600 Silkeborg",3591,"Helt enig","Helt uenig","Helt enig","Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Helt enig","Helt enig","Delvist uenig"
"Troels Moesgård","kristendemokraterne","Vestjyllands "," Struer"," Nej ",42," Mand "," Leder "," 7500 Holstebro",78,"Helt enig","Helt uenig","Delvist enig","Delvist uenig","Helt enig","Delvist uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Helt enig"
"Kristian Andersen","kristendemokraterne","Vestjyllands "," Ringkøbing"," Ja ",47," Mand "," Forstander "," 6880 Tarm",3860,"Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig"
"Kristian Andersen","kristendemokraterne","Vestjyllands "," Ringkøbing"," Ja ",47," Mand "," Forstander "," 6880 Tarm",3860,"Helt enig","Delvist enig","Helt uenig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt enig","Delvist uenig","Helt uenig","Delvist enig","Helt uenig","Delvist enig"
"Karlo Brondbjerg","kristendemokraterne","Vestjyllands "," Ikast"," Ja ",54," Mand "," Byrådsmedlem "," 7400 Herning",148,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt uenig","Delvist enig","Hverken enig eller uenig","Helt uenig","Helt uenig"
"Brian Christensen","kristendemokraterne","Vestjyllands "," Holstebro"," Nej ",48," Mand "," Præst "," 7500 Holstebro",163,"Helt enig","Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Helt enig","Helt uenig","Delvist enig"
"Knud Gårn-Larsen","kristendemokraterne","Vestjyllands "," Viborg Vest"," Nej ",67," Mand "," Købmand "," 7470 Karup J",112,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Delvist uenig","Helt uenig","Delvist uenig","Delvist uenig","Helt uenig","Delvist uenig"
"Jens Ove Kjeldsen","kristendemokraterne","Vestjyllands "," Silkeborg Nord"," Ja ",70," Mand "," Pensionist "," 7400 Herning",522,"Helt enig","Helt enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Delvist enig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig"
"Rene Kjær","kristendemokraterne","Vestjyllands "," Skive"," Nej ",48," Mand "," cand.oecon. "," 8840 Rødekjærsbro",91,"Helt enig","Helt enig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Delvist enig","Helt enig","Helt enig","Hverken enig eller uenig","Delvist enig"
"Jens Kristian Mølby Nielsen","kristendemokraterne","Vestjyllands "," Herning nord"," Nej ",46," Mand "," Landmand "," 7490 Aulum",272,"Helt enig","Delvist enig","Delvist uenig","Helt uenig","Delvist enig","Delvist uenig","Delvist uenig","Hverken enig eller uenig","Helt enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig"
"Jacob Rabjerg","kristendemokraterne","Vestjyllands "," Storkredskandidat"," Nej ",19," Mand "," Studerende "," 8600 Silkeborg",118,"Helt enig","Delvist enig","Helt uenig","Hverken enig eller uenig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Hverken enig eller uenig","Delvist uenig","Delvist uenig","Delvist enig","Helt uenig","Hverken enig eller uenig"
"Jette Lund","dansk folkeparti","Vestjyllands "," Struer"," Nej ",44," Kvinde "," Skoleleder "," 7600 Struer",2231,"Helt uenig","Helt enig","Helt uenig","Hverken enig eller uenig","Delvist enig","Helt enig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Delvist enig","Helt enig","Helt enig","Helt uenig"
"Martin Lange Andersen","dansk folkeparti","Vestjyllands "," Herning nord"," Nej ",39," Mand "," Flyverspecialist "," 7540 Haderup",861,"Delvist enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"Preben Andersen","dansk folkeparti","Vestjyllands "," Viborg Vest"," Ja ",56," Mand "," Købmand "," 7840 Højslev",2735,"Helt enig","Helt uenig","Helt uenig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"Dennis Flydtkjær","dansk folkeparti","Vestjyllands "," Ringkøbing"," Ja ",37," Mand "," Fhv. selvstændig erhvervsdrivende "," 7400 Herning",9097,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Hverken enig eller uenig","Helt uenig","Helt enig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"Anders Ladegård","dansk folkeparti","Vestjyllands "," Skive"," Nej ",24," Mand "," Studerende "," 7400 Herning",1096,"Delvist enig","Helt uenig","Delvist uenig","Delvist enig","Helt enig","Helt enig","Delvist uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Christian Langballe","dansk folkeparti","Vestjyllands "," Viborg Øst"," Ja ",48," Mand "," Sognepræst "," 8830 Tjele",3887,"Delvist enig","Helt uenig","Helt uenig","Delvist uenig","Hverken enig eller uenig","Delvist uenig","Hverken enig eller uenig","Hverken enig eller uenig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"Richardt Gråkjær Bostrup Møller","dansk folkeparti","Vestjyllands "," Holstebro"," Nej ",40," Mand "," Bagerfaglærer "," 7500 Holstebro",1124,"Delvist uenig","Hverken enig eller uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Helt enig","Helt uenig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"Peter Pedersen","dansk folkeparti","Vestjyllands "," Silkeborg Syd"," Nej ",57," Mand "," Politiassistent "," 8600 Silkeborg",1250,"Helt enig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig","Helt enig","Delvist uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"Jan Berg Rasmussen","dansk folkeparti","Vestjyllands "," Herning syd"," Nej ",53," Mand "," Seniorsergent "," 7451 Sunds",1455,"Hverken enig eller uenig","Delvist uenig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist uenig","Helt uenig","Helt enig","Delvist enig","Helt enig","Helt enig","Helt enig","Helt enig"
"Alex Uhrskov Rosenbæk","dansk folkeparti","Vestjyllands "," Ikast"," Nej ",44," Mand "," Kørelærer "," 7570 Vemb",827,"Helt enig","Delvist uenig","Delvist uenig","Delvist uenig","Helt enig","Delvist enig","Delvist enig","Delvist enig","Helt enig","Helt uenig","Helt enig","Helt enig","Helt enig","Helt enig"
"Thomas Danielsen","venstre","Vestjyllands "," Struer"," Ja ",32," Mand "," Bankrådgiver "," 7500 Holstebro",8922,"Helt uenig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig","Helt uenig","Helt uenig","Helt enig","Helt enig","Delvist enig","Delvist enig","Helt uenig","Delvist enig"
"Marianne Bredal","venstre","Vestjyllands "," Holstebro"," Ja ",30," Kvinde "," Butiksindehaver "," 7600 Struer",2013,"Delvist uenig","Delvist uenig","Delvist uenig","Delvist enig","Hverken enig eller uenig","Delvist enig","Helt uenig","Delvist uenig","Helt enig","Delvist enig","Delvist uenig","Delvist enig","Helt enig","Delvist uenig"
"Nicolaj Dupont-Mersing","venstre","Vestjyllands "," Herning syd"," Nej ",42," Mand "," Partner "," 7400 Herning",503,"Delvist enig","Delvist uenig","Delvist enig","Delvist enig","Delvist enig","Helt uenig","Helt uenig","Hverken enig eller uenig","Helt enig","Helt enig","Delvist enig","Hverken enig eller uenig","Helt enig","Hverken enig eller uenig"
